epoch,train_loss,train_acc,val_loss,val_acc
0,1.853178,27.6190,1.954482,14.2857
1,1.407397,53.3333,2.127627,14.2857
2,1.110330,67.6190,2.709485,16.6667
3,0.899030,69.5238,2.895533,30.9524
4,0.653655,80.3175,1.383902,54.7619
5,0.458581,85.0794,0.834048,64.2857
6,0.480823,82.2222,3.676979,42.8571
7,0.421017,86.6667,1.115950,69.0476
8,0.369998,88.2540,2.454731,47.6190
9,0.341548,86.9841,1.233555,69.0476
10,0.316417,89.8413,1.243117,64.2857
11,0.231058,92.6984,0.812886,73.8095
12,0.298783,88.5714,0.305014,85.7143
13,0.227913,92.0635,0.579029,80.9524
14,0.253217,92.0635,0.721216,85.7143
15,0.341082,89.8413,1.517113,66.6667
16,0.204197,93.3333,0.486273,90.4762
17,0.160166,93.6508,0.308761,88.0952
18,0.155965,96.1905,0.191464,90.4762
19,0.148465,94.9206,0.696546,76.1905
20,0.110602,96.5079,0.424924,83.3333
21,0.092380,97.1429,1.214211,66.6667
22,0.106273,96.8254,1.068703,73.8095
23,0.116309,96.1905,0.811504,76.1905
24,0.137279,95.5556,0.179321,90.4762
25,0.137383,94.9206,0.270202,88.0952
26,0.110032,97.4603,0.379120,88.0952
27,0.103639,95.8730,0.733927,76.1905
28,0.083926,97.1429,0.302572,92.8571
29,0.067752,98.4127,0.398195,92.8571
30,0.036380,99.0476,0.263291,92.8571
31,0.060408,97.4603,0.529642,85.7143
32,0.069981,97.1429,0.570338,83.3333
33,0.076063,97.7778,0.979355,78.5714
34,0.076500,97.1429,0.369895,85.7143
35,0.084308,97.4603,0.407337,90.4762
36,0.067534,98.0952,0.913729,80.9524
37,0.087273,96.5079,0.552455,83.3333
38,0.115279,95.8730,0.522675,85.7143
39,0.160449,95.5556,0.430793,88.0952
40,0.052356,98.0952,0.275942,92.8571
41,0.034754,98.4127,0.210367,85.7143
42,0.044318,98.7302,0.362892,88.0952
43,0.039560,98.7302,0.209296,88.0952
44,0.044395,98.4127,0.282836,90.4762
45,0.047833,98.0952,0.352553,92.8571
46,0.020272,99.3651,0.706397,80.9524
47,0.015163,99.6825,0.408225,90.4762
48,0.006896,100.0000,0.265240,92.8571
49,0.005282,100.0000,0.180939,97.6190
50,0.005795,100.0000,0.196102,95.2381
51,0.023641,99.3651,0.356909,95.2381
52,0.012719,100.0000,0.336632,95.2381
53,0.019213,99.0476,0.263905,92.8571
54,0.013242,100.0000,0.254608,95.2381
55,0.039626,99.0476,0.766361,85.7143
56,0.015191,100.0000,0.257607,95.2381
57,0.006753,100.0000,0.175292,95.2381
58,0.003606,100.0000,0.162178,95.2381
59,0.005680,100.0000,0.216332,92.8571
60,0.008763,99.3651,0.288619,90.4762
61,0.024125,99.3651,0.226759,90.4762
62,0.040851,99.0476,0.243758,88.0952
63,0.045873,99.0476,1.093480,71.4286
64,0.040695,98.0952,0.822549,78.5714
65,0.136205,96.1905,0.362333,90.4762
66,0.027685,99.3651,0.153251,92.8571
67,0.020824,100.0000,0.103180,95.2381
68,0.009162,100.0000,0.080151,97.6190
69,0.015102,99.0476,0.211026,92.8571
70,0.003683,100.0000,0.386427,90.4762
71,0.009979,99.6825,0.242081,90.4762
72,0.015697,99.6825,0.232170,90.4762
73,0.013638,99.6825,0.198503,95.2381
74,0.011829,99.6825,0.280669,95.2381
0,1.853178,27.6190,1.954482,14.2857
1,1.407397,53.3333,2.127627,14.2857
2,1.110330,67.6190,2.709485,16.6667
3,0.899030,69.5238,2.895533,30.9524
4,0.653655,80.3175,1.383902,54.7619
5,0.458581,85.0794,0.834048,64.2857
6,0.480823,82.2222,3.676979,42.8571
7,0.421017,86.6667,1.115950,69.0476
8,0.369998,88.2540,2.454731,47.6190
9,0.341548,86.9841,1.233555,69.0476
10,0.316417,89.8413,1.243117,64.2857
11,0.231058,92.6984,0.812886,73.8095
12,0.298783,88.5714,0.305014,85.7143
13,0.227913,92.0635,0.579029,80.9524
14,0.253217,92.0635,0.721216,85.7143
15,0.341082,89.8413,1.517113,66.6667
16,0.204197,93.3333,0.486273,90.4762
17,0.160166,93.6508,0.308761,88.0952
18,0.155965,96.1905,0.191464,90.4762
19,0.148465,94.9206,0.696546,76.1905
20,0.110602,96.5079,0.424924,83.3333
21,0.092380,97.1429,1.214211,66.6667
22,0.106273,96.8254,1.068703,73.8095
23,0.116309,96.1905,0.811504,76.1905
24,0.137279,95.5556,0.179321,90.4762
25,0.137383,94.9206,0.270202,88.0952
26,0.110032,97.4603,0.379120,88.0952
27,0.103639,95.8730,0.733927,76.1905
28,0.083926,97.1429,0.302572,92.8571
29,0.067752,98.4127,0.398195,92.8571
30,0.036380,99.0476,0.263291,92.8571
31,0.060408,97.4603,0.529642,85.7143
32,0.069981,97.1429,0.570338,83.3333
33,0.076063,97.7778,0.979355,78.5714
34,0.076500,97.1429,0.369895,85.7143
35,0.084308,97.4603,0.407337,90.4762
36,0.067534,98.0952,0.913729,80.9524
37,0.087273,96.5079,0.552455,83.3333
38,0.115279,95.8730,0.522675,85.7143
