122.77,136.24,145.60,155.33,162.61,169.59,175.56,184.26,189.27,193.60,196.76,200.90,206.34,207.62,210.64,216.09,221.38,227.74,234.01,234.54,241.12,249.40,256.31,261.40,266.83,272.62,275.07,270.45,270.72,266.42,260.84,255.57,248.03,250.19,242.66,238.54,230.22,223.03,218.01,214.77,209.07,197.12,191.02,185.61,177.05,163.25,152.59,143.60,135.07,123.47,110.03,97.29
108.23,118.51,123.33,130.97,139.52,143.60,146.28,149.09,150.12,155.32,158.76,159.45,161.42,163.69,165.19,166.69,166.83,172.24,172.80,176.24,173.95,178.47,179.23,182.50,182.91,186.39,184.74,181.71,180.60,173.73,178.21,175.29,179.51,181.16,184.48,184.10,187.38,187.00,188.60,181.84,183.64,177.45,170.70,162.50,157.99,151.00,143.12,133.02,123.00,110.45,103.70,91.07
129.40,144.22,151.48,161.64,172.70,181.21,185.92,193.34,196.98,202.07,210.58,210.19,214.17,219.83,220.87,227.11,231.11,236.07,242.89,246.35,255.04,262.09,269.07,274.39,279.16,284.96,286.40,285.03,283.30,278.76,274.76,267.73,262.07,257.77,252.80,247.68,241.32,235.85,230.84,222.74,216.91,207.87,199.88,191.70,183.61,171.47,162.41,153.00,141.22,127.48,117.80,104.71
125.67,139.82,149.33,161.01,166.41,175.07,181.43,191.00,193.60,199.42,201.92,208.15,210.09,213.04,215.54,223.59,226.04,234.65,239.02,242.20,248.20,256.63,261.31,269.13,271.49,280.71,284.00,276.59,278.00,275.14,270.51,262.95,256.48,254.54,249.69,245.25,236.03,230.71,225.80,219.99,214.98,203.83,197.01,190.01,182.00,169.31,158.53,149.91,137.41,128.80,112.87,100.28
122.54,135.47,142.62,153.21,161.97,170.43,174.87,183.20,186.80,189.76,196.06,198.58,202.41,204.88,207.91,214.85,216.93,226.88,228.41,233.81,240.35,249.07,254.53,259.62,264.02,267.35,269.95,269.30,266.59,263.13,259.12,252.56,247.41,244.36,240.40,235.26,226.24,220.84,218.01,213.21,206.04,197.22,190.69,182.50,173.90,163.25,153.52,145.62,133.06,123.37,111.73,98.09
122.26,134.85,144.97,152.50,160.38,167.60,174.07,183.10,185.61,189.71,193.71,198.71,200.88,201.22,205.41,211.57,216.45,224.44,229.16,230.10,235.57,243.94,251.10,255.84,260.43,267.37,268.04,264.69,264.12,263.15,255.52,252.39,245.31,243.39,239.04,232.59,225.22,218.68,215.67,212.12,205.55,192.20,189.40,181.55,175.01,162.63,152.55,142.87,133.84,124.78,109.22,96.46
122.80,135.96,144.31,154.35,161.01,169.78,174.93,183.70,187.07,190.25,195.07,199.58,203.10,202.20,205.12,212.27,216.70,224.15,230.71,231.04,237.45,245.35,252.45,257.12,261.72,268.01,269.60,265.97,266.72,262.71,257.28,252.05,245.90,245.11,240.19,235.33,226.55,220.06,216.23,213.17,206.41,195.49,190.19,181.89,173.63,162.79,152.82,143.09,134.48,123.02,110.14,96.94
121.84,136.21,144.51,156.44,160.70,171.62,175.93,185.72,188.10,195.00,197.85,201.54,205.46,206.32,211.19,217.50,219.58,231.04,233.26,237.01,242.40,250.32,256.40,262.23,266.74,273.98,277.33,269.86,271.03,267.02,261.96,256.03,251.08,248.20,242.74,237.95,230.00,224.18,220.20,215.03,209.82,197.31,193.58,184.11,176.82,165.41,154.03,145.21,134.20,122.32,110.60,97.74
129.52,143.14,150.72,161.93,169.50,178.71,184.20,191.82,196.02,199.85,208.63,208.87,211.57,215.23,219.32,225.88,227.20,236.30,239.65,245.22,252.24,258.99,265.35,271.22,277.61,281.49,284.29,281.18,281.82,274.64,271.86,266.33,259.83,254.69,252.07,246.98,237.78,231.97,228.44,221.16,214.15,206.65,199.12,191.05,182.83,171.11,161.31,151.40,138.70,127.20,116.28,104.39
126.30,138.60,149.59,159.91,167.93,176.05,181.73,190.47,195.36,198.66,202.39,208.01,211.62,213.34,216.13,222.17,227.88,236.09,241.30,241.75,247.49,256.25,263.04,270.14,271.89,280.64,282.78,276.87,278.65,275.41,267.15,261.60,255.16,255.38,249.80,244.39,235.95,229.68,226.35,219.49,215.62,202.09,198.28,190.85,180.97,168.34,158.45,148.72,137.61,128.58,114.21,101.13
