151.60,169.85,185.65,199.06,213.36,229.11,241.34,263.43,271.59,280.59,289.98,293.82,296.75,292.10,286.79,278.60,271.44,262.07,254.57,242.40,223.93,216.45,207.42,197.49,183.45,171.82,149.34,139.71,140.17,141.68,148.05,155.55,178.66,191.13,198.44,205.92,209.77,212.76,215.23,214.22,212.36,208.66,200.86,194.81,189.59,177.78,170.94,162.10,150.78,139.40,129.65,116.30
148.55,167.44,181.22,195.88,208.72,224.41,235.61,254.57,263.47,271.94,281.31,286.67,288.59,285.05,279.30,274.34,262.83,255.43,245.73,236.58,219.73,214.13,205.14,195.86,184.39,172.89,151.57,142.95,144.09,146.05,152.09,159.81,184.10,195.89,205.76,214.01,218.82,222.44,223.65,223.32,220.64,216.45,208.61,203.12,196.79,185.27,176.38,164.14,155.00,144.17,132.08,118.11
148.35,168.68,182.10,194.36,209.77,224.08,234.14,253.40,261.27,270.77,279.16,283.51,286.30,283.24,277.85,269.33,262.37,253.13,242.72,232.05,210.68,205.81,197.74,187.38,173.97,165.68,143.28,135.33,134.73,137.46,145.41,153.72,179.18,191.32,200.77,209.02,214.83,218.77,220.80,220.29,218.59,213.64,206.79,201.25,195.48,185.61,177.20,166.33,155.86,145.03,132.91,117.89
147.63,164.98,178.71,192.21,206.94,220.49,233.21,252.30,260.77,268.23,280.23,282.70,285.58,282.19,274.96,269.56,261.63,251.41,242.24,231.82,212.66,205.88,195.06,185.54,171.94,161.41,138.41,130.30,131.03,132.77,139.32,148.56,173.30,185.04,196.36,204.71,211.87,214.59,216.27,217.08,214.29,211.37,203.71,196.79,191.13,179.39,171.30,159.38,150.08,138.40,129.26,114.48
151.46,171.71,186.03,200.81,214.84,231.24,242.84,262.99,271.53,280.82,291.78,296.99,298.93,293.78,287.18,280.52,273.38,264.17,255.42,244.93,226.92,218.72,208.61,197.25,184.09,171.49,147.83,138.85,137.48,139.79,145.65,152.90,173.83,186.59,194.44,201.68,206.48,209.98,211.60,212.51,208.41,205.55,198.44,194.24,188.66,178.27,169.78,159.33,150.12,139.85,130.74,115.52
150.99,170.43,183.17,196.42,210.75,225.57,237.64,258.86,264.84,275.26,284.10,290.50,291.93,289.53,283.11,275.54,269.47,257.77,247.88,239.42,219.17,213.60,205.55,195.49,182.70,170.04,150.03,139.86,139.05,141.52,147.14,156.35,182.58,194.20,204.12,213.38,219.92,224.29,226.06,226.55,222.83,218.00,211.81,204.35,198.04,184.39,176.14,164.98,154.31,143.89,131.03,116.93
152.12,171.23,184.95,200.24,216.36,232.70,244.39,265.23,272.90,283.21,291.73,298.21,299.13,296.34,288.06,282.66,274.17,264.37,254.14,244.83,225.14,220.54,208.54,197.61,183.67,172.98,148.63,141.82,140.66,142.77,148.95,158.15,181.84,193.44,202.63,210.89,216.07,218.33,219.58,220.68,218.79,211.74,205.92,200.86,195.73,182.44,174.87,164.02,153.73,144.31,132.20,117.96
152.61,171.29,185.10,200.38,216.45,231.71,244.46,264.70,272.88,283.13,292.25,296.95,300.04,294.80,288.57,282.08,273.65,262.84,254.92,243.02,225.14,217.97,209.48,199.49,184.98,172.29,149.28,140.77,140.09,142.34,148.17,157.43,179.81,193.22,202.05,210.37,214.84,217.92,218.71,219.00,217.35,214.02,206.07,200.03,193.60,183.34,176.24,166.24,155.66,143.39,133.66,119.33
149.97,168.05,181.57,195.53,210.06,225.74,238.37,257.47,266.60,276.35,285.50,289.15,292.14,289.07,282.56,276.12,266.92,256.70,246.92,233.96,214.87,207.04,197.73,184.59,169.94,158.03,137.64,129.00,128.72,131.47,136.61,145.62,169.64,182.98,193.74,203.00,208.00,211.93,214.00,215.15,211.57,209.39,202.03,196.08,191.06,178.53,171.19,160.21,150.63,140.46,128.00,113.95
150.84,170.24,184.10,198.84,213.01,229.26,239.71,263.01,270.77,280.59,289.28,294.32,296.57,293.50,287.14,280.22,272.21,262.47,254.95,242.70,223.19,217.55,206.01,195.73,180.97,168.30,144.84,136.13,136.19,137.64,143.62,152.00,174.52,187.07,195.73,202.03,207.27,211.68,213.06,213.43,209.47,205.91,199.49,194.73,188.73,179.45,169.50,160.45,151.48,139.54,130.10,113.74
