epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.9381330723489512,0.1695313466056634,1.9330028132798056,0.20437685459940652,1.6666666666666667e-05
2,1.9260089869727395,0.3077779151724991,1.9185850468162966,0.3942878338278932,3.3333333333333335e-05
3,1.9107398119611942,0.4159762581921603,1.901345678889787,0.4580860534124629,5e-05
4,1.894652395235441,0.46345987387164583,1.8879810982005178,0.4551186943620178,6.666666666666667e-05
5,1.8838023989489807,0.44763200197848396,1.8760753141312643,0.4714391691394659,8.333333333333334e-05
6,1.8704859460551437,0.44886855447013724,1.8619311895851565,0.43805637982195844,8.33281930200692e-05
7,1.8578884571226857,0.4440459997526895,1.8509373201460795,0.47181008902077154,8.331277334857217e-05
8,1.8469211308729432,0.4606158031408433,1.840495971260863,0.4580860534124629,8.328707812341544e-05
9,1.836526972586843,0.4557932484233956,1.8289063564040187,0.4714391691394659,8.325111368451134e-05
10,1.8242930346636714,0.480524298256461,1.8168403543421352,0.4892433234421365,8.320488890554703e-05
11,1.8109920726831312,0.4983306541362681,1.8031925674008333,0.5066765578635015,8.314841519179502e-05
12,1.7994452349052037,0.5015456906145666,1.7928673400369526,0.509272997032641,8.308170647729917e-05
13,1.7876832997296257,0.5178681835043898,1.7828820667917722,0.5118694362017804,8.30047792214366e-05
14,1.7781968281415597,0.5252874984543093,1.7711899418505435,0.526706231454006,8.291765240485657e-05
15,1.766514289330475,0.538023989118338,1.7601653556795431,0.5289317507418397,8.282034752479742e-05
16,1.7550042457422546,0.5434648200816125,1.747202549914578,0.5385756676557863,8.271288858978226e-05
17,1.7425446018707447,0.5543464820081613,1.7358536950204775,0.5478486646884273,8.259530211369538e-05
18,1.7300947984187405,0.5574378632372944,1.724351037149967,0.5634272997032641,8.246761710924025e-05
19,1.7176656477734644,0.5685668356621738,1.710717728300689,0.5715875370919882,8.232986508078116e-05
20,1.7063994074657907,0.570545319648819,1.7018233590734464,0.5701038575667656,8.218208001656986e-05
21,1.6956745902348378,0.5772227031037468,1.6912481611489543,0.5775222551928784,8.202429838035963e-05
22,1.6850108541958233,0.5768517373562507,1.6812504483967223,0.5760385756676558,8.185655910240826e-05
23,1.6763084130247665,0.5793248423395573,1.6724150470880796,0.5782640949554896,8.167890356987264e-05
24,1.6655112781792352,0.5899591937677754,1.665498449823623,0.5797477744807121,8.14913756165971e-05
25,1.6583369208809118,0.5893409175219488,1.654428303418598,0.5886498516320475,8.129402151229807e-05
26,1.6476790275711706,0.5911957462594287,1.6468028456237973,0.5908753709198813,8.108688995114772e-05
27,1.6409353495115873,0.5945344379868925,1.6389168087028254,0.6049703264094956,8.087003203975939e-05
28,1.6322659723128083,0.5998516137010016,1.631254021067294,0.6045994065281899,8.06435012845778e-05
29,1.624452256516619,0.6029429949301348,1.621943835334891,0.6053412462908012,8.040735357867714e-05
30,1.6163159271422785,0.6086311363917398,1.6152287389121354,0.6120178041543026,8.016164718797028e-05
